,state,district,delta7.vaccinated1,delta7.vaccinated2,meta.population,total.vaccinated1,total.vaccinated2,delta.vaccinated2,delta.vaccinated1,delta21_14.confirmed,delta7.confirmed,delta7.recovered,total.confirmed,total.deceased,total.recovered,delta.confirmed,delta.recovered,meta.tested.date,total.tested
182,GJ,Sabarkantha,4232.0,45789.0,2427346.0,1000517.0,596705.0,1181.0,66.0,,1.0,,9317.0,157.0,9159.0,,,2021-02-02,182090.0
183,GJ,Surat,35083.0,115694.0,4996391.0,4781894.0,2529712.0,7090.0,2525.0,38.0,38.0,30.0,143874.0,1956.0,141885.0,4.0,4.0,2021-02-02,1938229.0
184,GJ,Surendranagar,18641.0,79795.0,1755873.0,1113845.0,715931.0,647.0,51.0,,,,8121.0,136.0,7985.0,,,2021-02-02,201153.0
185,GJ,Tapi,3010.0,23409.0,806489.0,527345.0,303297.0,111.0,14.0,-1.0,,,4441.0,24.0,4417.0,,,2021-02-02,92524.0
186,GJ,Vadodara,16527.0,182027.0,3639775.0,2612578.0,1940514.0,12194.0,437.0,16.0,36.0,14.0,78159.0,788.0,77335.0,6.0,2.0,2021-02-02,695670.0
187,GJ,Valsad,6616.0,36430.0,1703068.0,1232139.0,704675.0,46.0,84.0,28.0,25.0,25.0,6405.0,53.0,6308.0,3.0,6.0,2021-02-02,155380.0
188,HP,Bilaspur,695.0,15071.0,382056.0,323204.0,234916.0,329.0,6.0,78.0,133.0,77.0,14374.0,85.0,14120.0,11.0,12.0,2020-12-19,39738.0
189,HP,Chamba,1439.0,18796.0,518844.0,364258.0,198146.0,1749.0,146.0,8.0,27.0,13.0,13687.0,160.0,13492.0,,2.0,2020-12-19,53505.0
190,HP,Hamirpur,713.0,26076.0,454293.0,377332.0,269143.0,32.0,,177.0,288.0,228.0,17379.0,287.0,16741.0,11.0,50.0,2020-12-19,46407.0
191,HP,Kangra,2399.0,39940.0,1507223.0,1182563.0,725754.0,23.0,2.0,310.0,657.0,454.0,50818.0,1125.0,48872.0,40.0,108.0,2020-12-19,94910.0
192,HP,Kinnaur,95.0,517.0,84298.0,79673.0,63209.0,,,4.0,2.0,6.0,3507.0,38.0,3465.0,,1.0,2020-12-19,6730.0
193,HP,Kullu,889.0,9323.0,437474.0,351261.0,203549.0,,,17.0,19.0,18.0,9692.0,158.0,9496.0,,3.0,2020-09-29,12012.0
194,HP,Lahaul and Spiti,30.0,412.0,31528.0,31920.0,20986.0,,,1.0,,,2953.0,18.0,2935.0,,,2020-10-31,540.0
195,HP,Mandi,1156.0,26214.0,999518.0,775242.0,479355.0,2275.0,99.0,165.0,140.0,141.0,31606.0,448.0,30983.0,4.0,5.0,2020-12-19,41895.0
196,HP,Shimla,2224.0,37351.0,813384.0,678341.0,412640.0,1688.0,20.0,72.0,100.0,66.0,27549.0,641.0,26786.0,4.0,9.0,2020-12-19,32922.0
197,HP,Sirmaur,1388.0,22247.0,530164.0,423793.0,209631.0,1185.0,52.0,,1.0,,15456.0,211.0,15244.0,,,2020-12-19,42564.0
198,HP,Solan,1393.0,21242.0,576670.0,691163.0,339630.0,493.0,33.0,25.0,25.0,27.0,22817.0,314.0,22472.0,4.0,2.0,2020-12-19,57200.0
199,HP,Una,824.0,16782.0,521057.0,434945.0,286819.0,396.0,24.0,101.0,145.0,124.0,14268.0,253.0,13804.0,11.0,6.0,2020-12-19,52905.0
200,HR,Ambala,3021.0,25458.0,1136784.0,873020.0,571772.0,587.0,100.0,2.0,2.0,1.0,30150.0,509.0,29639.0,,,2021-01-30,206003.0
201,HR,Bhiwani,6166.0,25664.0,1629109.0,741251.0,317765.0,2454.0,578.0,,,,22409.0,652.0,21757.0,,,2021-01-30,176225.0
202,HR,Charkhi Dadri,941.0,11884.0,502276.0,364599.0,262184.0,35.0,2.0,,,2.0,5078.0,139.0,4939.0,,,2020-10-28,58525.0
203,HR,Faridabad,17515.0,30156.0,1798954.0,1658940.0,840997.0,1577.0,818.0,8.0,18.0,7.0,99902.0,716.0,99157.0,1.0,,2021-01-30,504970.0
204,HR,Fatehabad,1800.0,7458.0,941522.0,574546.0,201763.0,37.0,30.0,1.0,,,17875.0,481.0,17394.0,,,2020-08-29,27456.0
205,HR,Gurugram,20221.0,48107.0,1514085.0,2193114.0,1377160.0,1637.0,264.0,47.0,55.0,48.0,181428.0,922.0,180454.0,7.0,8.0,2021-01-30,742619.0
206,HR,Hisar,5821.0,12364.0,1742815.0,994213.0,332162.0,111.0,58.0,,2.0,,53995.0,1136.0,52857.0,,,2021-01-30,322039.0
207,HR,Jhajjar,8229.0,19599.0,956907.0,684511.0,293496.0,996.0,569.0,,1.0,,18849.0,328.0,18514.0,,,2020-11-30,186853.0
208,HR,Jind,13366.0,21662.0,1332042.0,704573.0,250859.0,567.0,490.0,,1.0,,21209.0,533.0,20675.0,,,2020-07-13,11157.0
209,HR,Kaithal,4183.0,11836.0,1072861.0,615168.0,217439.0,149.0,69.0,2.0,,2.0,11244.0,346.0,10898.0,,,2020-07-13,11687.0
210,HR,Karnal,8109.0,23328.0,1506323.0,1000120.0,451876.0,217.0,617.0,2.0,1.0,,40037.0,552.0,39484.0,1.0,,2021-01-30,185147.0
211,HR,Kurukshetra,4064.0,9522.0,964231.0,610380.0,248125.0,199.0,55.0,1.0,1.0,1.0,22147.0,357.0,21789.0,,,2021-01-29,198881.0
212,HR,Mahendragarh,4857.0,10632.0,921680.0,576527.0,264911.0,529.0,205.0,,,,21689.0,155.0,21534.0,,,2021-01-30,143253.0
213,HR,Nuh,10812.0,3789.0,1089406.0,354422.0,78081.0,583.0,2433.0,,,,5014.0,123.0,4890.0,,,2020-11-01,93389.0
214,HR,Palwal,7558.0,9496.0,1040493.0,608874.0,221786.0,259.0,358.0,1.0,,,11025.0,153.0,10872.0,,,2021-01-30,139809.0
215,HR,Panchkula,1786.0,10743.0,558890.0,456675.0,279951.0,1033.0,127.0,7.0,10.0,12.0,30770.0,378.0,30379.0,1.0,2.0,2020-12-05,118725.0
216,HR,Panipat,7950.0,12888.0,1202811.0,830805.0,273172.0,1054.0,375.0,,1.0,,31150.0,638.0,30510.0,1.0,,2020-10-06,58863.0
217,HR,Rewari,2550.0,9877.0,896129.0,648724.0,294989.0,353.0,83.0,2.0,,4.0,20327.0,221.0,20106.0,,,2021-01-30,151363.0
218,HR,Rohtak,11409.0,17219.0,1058683.0,674649.0,305282.0,953.0,311.0,4.0,,1.0,25903.0,534.0,25350.0,,,2020-07-13,25894.0
219,HR,Sirsa,4263.0,8228.0,1295114.0,786205.0,278920.0,92.0,47.0,3.0,3.0,2.0,29282.0,508.0,28771.0,,,2020-12-06,150193.0
220,HR,Sonipat,9421.0,21065.0,1480080.0,989125.0,411915.0,2190.0,785.0,1.0,,1.0,47138.0,254.0,46884.0,,,2020-12-06,238963.0
221,HR,Yamunanagar,6471.0,16554.0,1214162.0,831598.0,340196.0,185.0,102.0,2.0,,6.0,24631.0,414.0,24215.0,,,2021-01-30,196131.0
222,JH,Bokaro,27554.0,34375.0,2061918.0,994497.0,333330.0,4363.0,3236.0,5.0,15.0,13.0,19461.0,286.0,19170.0,,,2020-07-23,11798.0
223,JH,Chatra,5946.0,11402.0,1042304.0,454807.0,126700.0,1813.0,909.0,,,,6033.0,53.0,5977.0,,,,
224,JH,Deoghar,9801.0,19008.0,1491879.0,569167.0,230458.0,2299.0,985.0,,2.0,1.0,10835.0,113.0,10721.0,,,2020-07-23,6951.0
225,JH,Dhanbad,33374.0,34095.0,2682662.0,1185934.0,446946.0,3597.0,2811.0,1.0,24.0,13.0,16589.0,382.0,16196.0,,1.0,,
226,JH,Dumka,12679.0,22872.0,1321096.0,638722.0,229944.0,2659.0,1460.0,,2.0,2.0,4636.0,47.0,4589.0,,1.0,2020-07-23,5400.0
227,JH,East Singhbhum,11994.0,29238.0,2291032.0,1424376.0,661091.0,4669.0,1925.0,11.0,47.0,42.0,51974.0,1046.0,50907.0,,3.0,,
228,JH,Garhwa,17210.0,15386.0,1322387.0,456056.0,148421.0,3027.0,4770.0,1.0,6.0,7.0,6895.0,94.0,6801.0,,1.0,,
229,JH,Giridih,16994.0,29823.0,2445203.0,994417.0,301193.0,3577.0,2411.0,,,,8964.0,130.0,8834.0,,,2020-07-23,11132.0
230,JH,Godda,7385.0,16537.0,1311382.0,527710.0,198198.0,1883.0,906.0,,1.0,1.0,5840.0,87.0,5753.0,,,2020-07-23,10980.0
231,JH,Gumla,4900.0,8696.0,1025656.0,387738.0,156364.0,744.0,465.0,,5.0,,9900.0,38.0,9857.0,,,,
232,JH,Hazaribagh,11940.0,21857.0,1734005.0,865943.0,317137.0,1243.0,678.0,,3.0,3.0,19593.0,186.0,19404.0,,,,
233,JH,Jamtara,9614.0,12331.0,790207.0,381155.0,137216.0,1373.0,973.0,1.0,4.0,3.0,5599.0,61.0,5534.0,,,2020-07-21,2880.0
234,JH,Khunti,3335.0,3834.0,530299.0,227503.0,107053.0,367.0,354.0,2.0,,,7820.0,96.0,7724.0,,,2020-07-29,3852.0
